Description,clean_desc,prod_cluster
herb marker mint,herb marker mint,7
herb marker rosemary,herb marker rosemary,7
herb marker basil,herb marker basil,7
herb marker chives,herb marker chives,7
herb marker parsley,herb marker parsley,7
herb marker thyme,herb marker thyme,7
metal merry christmas wreath,metal merry christmas wreath,6
white christmas garland stars trees,white christmas garland stars trees,8
retrospot giant tube matches,retrospot giant tube matches,7
36 foil star cake cases,36 foil star cake cases,7
pack of 6 handbag gift boxes,pack of 6 handbag gift boxes,1
garland wooden happy easter,garland wooden happy easter,7
calendar paper cut design,calendar paper cut design,10
calendar in season design,calendar in season design,7
blue paisley tissue box,blue paisley tissue box,4
pink paisley square tissue box,pink paisley square tissue box,2
toast its - happy birthday,toast its happy birthday,7
set/10 ivory polkadot party candles,set 10 ivory polkadot party candles,7
skulls storage box small,skulls storage box small,7
jumbo storage bag skulls,jumbo storage bag skulls,7
garden path journal,garden path journal,7
black orange squeezer,black orange squeezer,7
set of 72 green paper doilies,set of 72 green paper doilies,1
retrospot red washing up gloves,retrospot red washing up gloves,7
small licorice des pink bowl,small licorice des pink bowl,2
"swiss roll towel, chocolate  spots",swiss roll towel chocolate spots,7
picnic basket wicker large,picnic basket wicker large,7
cream sweetheart egg holder,cream sweetheart egg holder,7
pink 3 piece polkadot cutlery set,pink 3 piece polkadot cutlery set,2
pink party bags,pink party bags,2
blue party bags,blue party bags,4
pink cream felt craft trinket box,pink cream felt craft trinket box,2
red retrospot oven glove double,red retrospot oven glove double,7
ridged glass storage jar cream lid,ridged glass storage jar cream lid,7
pack of 20 napkins pantry design,pack of 20 napkins pantry design,1
sweetheart cakestand 3 tier,sweetheart cakestand 3 tier,7
christmas hanging star with bell,christmas hanging star with bell,8
multicolour  confetti in tube,multicolour confetti in tube,7
chocolate 3 wick morris box candle,chocolate 3 wick morris box candle,7
set of 16 vintage pistachio cutlery,set of 16 vintage pistachio cutlery,1
christmas toilet roll,christmas toilet roll,6
white bell honeycomb paper,white bell honeycomb paper,10
4 purple flock dinner candles,4 purple flock dinner candles,7
pink & white breakfast tray,pink white breakfast tray,2
english rose spirit level,english rose spirit level,9
large round wicker platter,large round wicker platter,7
black tea towel classic design,black tea towel classic design,7
christmas lights 10 vintage baubles,christmas lights 10 vintage baubles,6
roses regency teacup and saucer,roses regency teacup and saucer,7
t-light holder hanging lace,t light holder hanging lace,3
hanging heart mirror decoration,hanging heart mirror decoration,3
cream slice flannel chocolate spot,cream slice flannel chocolate spot,7
cream slice flannel pink spot,cream slice flannel pink spot,2
green regency teacup and saucer,green regency teacup and saucer,7
eight piece dinosaur set,eight piece dinosaur set,1
heads and tails sporting fun,heads and tails sporting fun,7
ass col small sand gecko p'weight,ass col small sand gecko p weight,7
enamel measuring jug cream,enamel measuring jug cream,7
12 pencils small tube skull,12 pencils small tube skull,7
12 pencil small tube woodland,12 pencil small tube woodland,7
blue paper parasol,blue paper parasol,10
victorian  metal postcard spring,victorian metal postcard spring,7
metal 4 hook hanger french chateau,metal 4 hook hanger french chateau,7
black kitchen scales,black kitchen scales,7
red kitchen scales,red kitchen scales,7
ivory kitchen scales,ivory kitchen scales,7
multi colour silver t-light holder,multi colour silver t light holder,3
3 hook hanger magic garden,3 hook hanger magic garden,7
assorted colour lizard suction hook,assorted colour lizard suction hook,7
jumbo bag woodland animals,jumbo bag woodland animals,7
children's circus parade mug,children s circus parade mug,7
pack 3 fire engine/car patches,pack 3 fire engine car patches,7
card psychedelic apples,card psychedelic apples,0
ivory enchanted forest placemat,ivory enchanted forest placemat,7
pack of 6 pannetone gift boxes,pack of 6 pannetone gift boxes,1
measuring tape babushka red,measuring tape babushka red,7
red enchanted forest placemat,red enchanted forest placemat,7
childrens dolly girl mug,childrens dolly girl mug,7
toadstool money box,toadstool money box,7
make your own flowerpower card kit,make your own flowerpower card kit,7
paper chain kit london,paper chain kit london,10
measuring tape babushka blue,measuring tape babushka blue,4
pencil case life is beautiful,pencil case life is beautiful,7
wooden rounders garden set,wooden rounders garden set,1
childs breakfast set dolly girl,childs breakfast set dolly girl,7
childs breakfast set spaceboy,childs breakfast set spaceboy,7
cake plate lovebird white,cake plate lovebird white,8
wooden advent calendar red,wooden advent calendar red,7
green christmas tree card holder,green christmas tree card holder,6
string of stars card holder,string of stars card holder,0
set/12 taper candles,set 12 taper candles,1
mint kitchen scales,mint kitchen scales,7
white wood garden plant ladder,white wood garden plant ladder,8
glass jar english confectionery,glass jar english confectionery,7
glass jar digestive biscuits,glass jar digestive biscuits,7
milk bottle with glass stopper,milk bottle with glass stopper,8
welcome  wooden block letters,welcome wooden block letters,7
set/4 modern vintage cotton napkins,set 4 modern vintage cotton napkins,6
vintage union jack apron,vintage union jack apron,6
swallow square tissue box,swallow square tissue box,7
no junk mail metal sign,no junk mail metal sign,7
slate tile natural hanging,slate tile natural hanging,7
vintage glass coffee caddy,vintage glass coffee caddy,6
silver glass t-light set,silver glass t light set,7
ridged glass finger bowl,ridged glass finger bowl,7
glass  beurre dish,glass beurre dish,7
gin & tonic diet greeting card,gin tonic diet greeting card,0
"birthday card, retro spot",birthday card retro spot,0
wrap red apples,wrap red apples,7
red retrospot wrap,red retrospot wrap,7
wrap christmas screen print,wrap christmas screen print,6
fancy fonts birthday wrap,fancy fonts birthday wrap,7
classic white frame,classic white frame,8
black diner wall clock,black diner wall clock,5
doormat peace on earth blue,doormat peace on earth blue,4
box of 24 cocktail parasols,box of 24 cocktail parasols,7
grow your own plant in a can,grow your own plant in a can,7
plasters in tin circus parade,plasters in tin circus parade,7
plasters in tin strongman,plasters in tin strongman,7
mini jigsaw dinosaur,mini jigsaw dinosaur,7
mini jigsaw bake a cake,mini jigsaw bake a cake,7
mini jigsaw dolly girl,mini jigsaw dolly girl,7
wooden school colouring set,wooden school colouring set,1
pack of 12 traditional crayons,pack of 12 traditional crayons,1
card party games,card party games,0
booze & women greeting card,booze women greeting card,0
pack of 12 suki tissues,pack of 12 suki tissues,1
pack of 12 woodland tissues,pack of 12 woodland tissues,1
pack of 12 skull tissues,pack of 12 skull tissues,1
pack of 12 blue paisley tissues,pack of 12 blue paisley tissues,1
pack of 12 circus parade tissues,pack of 12 circus parade tissues,1
pack of 12 spaceboy tissues,pack of 12 spaceboy tissues,1
lads only tissue box,lads only tissue box,7
red retrospot tissue box,red retrospot tissue box,7
pack of 12 pink paisley tissues,pack of 12 pink paisley tissues,1
gingerbread man cookie cutter,gingerbread man cookie cutter,7
gin and tonic mug,gin and tonic mug,7
if you can't stand the heat mug,if you can t stand the heat mug,7
i can only please one person mug,i can only please one person mug,7
pink heart shape egg frying pan,pink heart shape egg frying pan,3
200 red + white bendy straws,200 red white bendy straws,8
recipe box retrospot,recipe box retrospot,7
recipe box pantry yellow design,recipe box pantry yellow design,7
recipe box blue sketchbook design,recipe box blue sketchbook design,4
20 dolly pegs retrospot,20 dolly pegs retrospot,7
no singing metal sign,no singing metal sign,7
biscuit tin vintage red,biscuit tin vintage red,6
emergency first aid tin,emergency first aid tin,7
polkadot pen,polkadot pen,7
decorative plant pot with frieze,decorative plant pot with frieze,8
french blue metal door sign 5,french blue metal door sign 5,4
chest of drawers gingham heart,chest of drawers gingham heart,3
red retrospot cake stand,red retrospot cake stand,7
joy wooden block letters,joy wooden block letters,7
noel wooden block letters,noel wooden block letters,7
peace wooden block letters,peace wooden block letters,7
office mug warmer black+silver,office mug warmer black silver,7
set of 2 christmas decoupage candle,set of 2 christmas decoupage candle,1
cosmetic bag vintage rose paisley,cosmetic bag vintage rose paisley,6
pink rose fabric mirror,pink rose fabric mirror,9
silver plate candle bowl small,silver plate candle bowl small,7
small regal  silver candlepot,small regal silver candlepot,7
antique tall swirlglass trinket pot,antique tall swirlglass trinket pot,7
antique glass pedestal bowl,antique glass pedestal bowl,7
gumball magazine rack,gumball magazine rack,7
red flower crochet food cover,red flower crochet food cover,11
cherry crochet food cover,cherry crochet food cover,11
strawberry raffia food cover,strawberry raffia food cover,11
polka dot raffia food cover,polka dot raffia food cover,11
doormat spotty home sweet home,doormat spotty home sweet home,7
t-light glass fluted antique,t light glass fluted antique,3
silver  candlepot jardin,silver candlepot jardin,7
polkadot mug pink,polkadot mug pink,2
paper bunting coloured lace,paper bunting coloured lace,10
antique glass heart decoration,antique glass heart decoration,3
set of 6 kashmir folkart baubles,set of 6 kashmir folkart baubles,1
christmas retrospot angel wood,christmas retrospot angel wood,6
christmas retrospot star wood,christmas retrospot star wood,6
heart wooden christmas decoration,heart wooden christmas decoration,3
large hanging ivory & red wood bird,large hanging ivory red wood bird,3
small hanging ivory/red wood bird,small hanging ivory red wood bird,3
grand chocolatecandle,grand chocolatecandle,7
fairy cake birthday candle set,fairy cake birthday candle set,7
3 hook photo shelf antique white,3 hook photo shelf antique white,8
cream sweetheart wall cabinet,cream sweetheart wall cabinet,5
doormat english rose,doormat english rose,9
doormat union flag,doormat union flag,7
romantic images notebook set,romantic images notebook set,7
curious  images notebook set,curious images notebook set,7
vintage keepsake box paris days,vintage keepsake box paris days,6
red gingham rose jewellery box,red gingham rose jewellery box,9
blue charlie+lola personal doorsign,blue charlie lola personal doorsign,4
"charlie+lola""extremely busy"" sign",charlie lola extremely busy sign,7
charlotte bag suki design,charlotte bag suki design,7
lolita  design  cotton tote bag,lolita design cotton tote bag,7
lets go shopping cotton tote bag,lets go shopping cotton tote bag,7
paint your own canvas set,paint your own canvas set,7
camouflage led torch,camouflage led torch,7
blue dragonfly helicopter,blue dragonfly helicopter,4
yellow shark helicopter,yellow shark helicopter,7
red shark helicopter,red shark helicopter,7
tool box soft toy,tool box soft toy,7
doctor's bag soft toy,doctor s bag soft toy,7
carriage,carriage,7
jumbo bag scandinavian paisley,jumbo bag scandinavian paisley,7
jumbo bag toys,jumbo bag toys,7
painted lightbulb star+ moon,painted lightbulb star moon,7
blue tea towel classic design,blue tea towel classic design,4
set 12 kids  white chalk sticks,set 12 kids white chalk sticks,8
christmas musical zinc star,christmas musical zinc star,6
christmas musical zinc heart,christmas musical zinc heart,3
dove decoration painted zinc,dove decoration painted zinc,7
union stripe with fringe  hammock,union stripe with fringe hammock,8
folkart zinc heart christmas dec,folkart zinc heart christmas dec,3
skulls and crossbones wrap,skulls and crossbones wrap,7
polyester filler pad 45x30cm,polyester filler pad 45x30cm,7
polyester filler pad 40x40cm,polyester filler pad 40x40cm,7
